number,date,title,url,pdf
A/94 Rev.1,1948,"Summary of resolutions and decisions of the first World Health Assembly, Palais des Nations, Geneva, 24 June - 24 July, 1948
﻿",https://apps.who.int/iris/handle/10665/97807,/iris/bitstream/handle/10665/97807/WHA1_94_eng.pdf?sequence=1&isAllowed=y
WHA2.102,1949,"Amendment to the rules of procedure of the World Health Assembly concerning the status of associate members
﻿",https://apps.who.int/iris/handle/10665/86192,/iris/bitstream/handle/10665/86192/WHA2.102_eng.pdf?sequence=1&isAllowed=y
WHA2.86,1949,"Hygiene of housing
﻿",https://apps.who.int/iris/handle/10665/86172,/iris/bitstream/handle/10665/86172/WHA2.86_eng.pdf?sequence=1&isAllowed=y
WHA2.96,1949,"Assignment of Greece to the European regional area
﻿",https://apps.who.int/iris/handle/10665/86185,/iris/bitstream/handle/10665/86185/WHA2.96_eng.pdf?sequence=1&isAllowed=y
WHA2.66,1949,"Working capital fund for 1950
﻿",https://apps.who.int/iris/handle/10665/86144,/iris/bitstream/handle/10665/86144/WHA2.66_eng.pdf?sequence=1&isAllowed=y
WHA2.75,1949,"Supplemental operating programme of advisory and technical services budget
﻿",https://apps.who.int/iris/handle/10665/86158,/iris/bitstream/handle/10665/86158/WHA2.75_eng.pdf?sequence=1&isAllowed=y
WHA2.45,1949,"Administrative and financial relations between the United Nations and specialized agencies
﻿",https://apps.who.int/iris/handle/10665/86109,/iris/bitstream/handle/10665/86109/WHA2.45_eng.pdf?sequence=1&isAllowed=y
WHA2.69,1949,"Scale of assessments: contribution of the state of South Korea to the budgets of 1949 and 1950
﻿",https://apps.who.int/iris/handle/10665/86148,/iris/bitstream/handle/10665/86148/WHA2.69_eng.pdf?sequence=1&isAllowed=y
WHA2.36,1949,"Bejel and other treponematoses
﻿",https://apps.who.int/iris/handle/10665/86100,/iris/bitstream/handle/10665/86100/WHA2.36_eng.pdf?sequence=1&isAllowed=y
WHA2.104,1949,"Regional organization: African area
﻿",https://apps.who.int/iris/handle/10665/86194,/iris/bitstream/handle/10665/86194/WHA2.104_eng.pdf?sequence=1&isAllowed=y
WHA2.74,1949,"Establishment of a regional organization for the European area
﻿",https://apps.who.int/iris/handle/10665/86156,/iris/bitstream/handle/10665/86156/WHA2.74_eng.pdf?sequence=1&isAllowed=y
WHA2.93,1949,"WHO regulations on nomenclature, 1948: proposed amendment to article 20
﻿",https://apps.who.int/iris/handle/10665/86182,/iris/bitstream/handle/10665/86182/WHA2.93_eng.pdf?sequence=1&isAllowed=y
WHA2.65,1949,"Currency of contributions
﻿",https://apps.who.int/iris/handle/10665/86143,/iris/bitstream/handle/10665/86143/WHA2.65_eng.pdf?sequence=1&isAllowed=y
WHA2.39,1949,"Health statistics: registration, compilation and transmission
﻿",https://apps.who.int/iris/handle/10665/86103,/iris/bitstream/handle/10665/86103/WHA2.39_eng.pdf?sequence=1&isAllowed=y
WHA2.35,1949,"World Health Day
 ﻿",https://apps.who.int/iris/handle/10665/86099,/iris/bitstream/handle/10665/86099/WHA2.35_eng.pdf?sequence=1&isAllowed=y
WHA2.64,1949,"Appointment of members and alternates to the Staff Pension Committee
﻿",https://apps.who.int/iris/handle/10665/86142,/iris/bitstream/handle/10665/86142/WHA2.64_eng.pdf?sequence=1&isAllowed=y
WHA2.27,1949,"Insulin
﻿",https://apps.who.int/iris/handle/10665/86091,/iris/bitstream/handle/10665/86091/WHA2.27_eng.pdf?sequence=1&isAllowed=y
WHA2.59,1949,"Notification to governments of vacancies for professional and senior staff
﻿",https://apps.who.int/iris/handle/10665/86137,/iris/bitstream/handle/10665/86137/WHA2.59_eng.pdf?sequence=1&isAllowed=y
WHA2.73,1949,"Programme medical supply services
﻿",https://apps.who.int/iris/handle/10665/86154,/iris/bitstream/handle/10665/86154/WHA2.73_eng.pdf?sequence=1&isAllowed=y
WHA2.58,1949,"Currency of contributions
﻿",https://apps.who.int/iris/handle/10665/86136,/iris/bitstream/handle/10665/86136/WHA2.58_eng.pdf?sequence=1&isAllowed=y
WHA2.30,1949,"Activities with the United Nations, specialized agencies and non-governmental organizations on public-health administration
﻿",https://apps.who.int/iris/handle/10665/86094,/iris/bitstream/handle/10665/86094/WHA2.30_eng.pdf?sequence=1&isAllowed=y
WHA2.56,1949,"Policy to be followed concerning contributions to arrears
﻿",https://apps.who.int/iris/handle/10665/86134,/iris/bitstream/handle/10665/86134/WHA2.56_eng.pdf?sequence=1&isAllowed=y
WHA2.12,1949,"Co-operation with FAO on nutrition problems
﻿",https://apps.who.int/iris/handle/10665/86071,/iris/bitstream/handle/10665/86071/WHA2.12_eng.pdf?sequence=1&isAllowed=y
WHA2.53,1949,"Appointment of the external auditor for 1950
﻿",https://apps.who.int/iris/handle/10665/86131,/iris/bitstream/handle/10665/86131/WHA2.53_eng.pdf?sequence=1&isAllowed=y
WHA2.95,1949,"Proposed amendments to the rules of procedure of the World Health Assembly
﻿",https://apps.who.int/iris/handle/10665/86184,/iris/bitstream/handle/10665/86184/WHA2.95_eng.pdf?sequence=1&isAllowed=y
WHA2.55,1949,"Status of contributions to the budget for 1949
﻿",https://apps.who.int/iris/handle/10665/86133,/iris/bitstream/handle/10665/86133/WHA2.55_eng.pdf?sequence=1&isAllowed=y
WHA2.81,1949,"Approval of the agreement with the government of India
﻿",https://apps.who.int/iris/handle/10665/86167,/iris/bitstream/handle/10665/86167/WHA2.81_eng.pdf?sequence=1&isAllowed=y
WHA2.20,1949,"Proposal to widen the terms of reference of the Expert Committee on Malaria
﻿",https://apps.who.int/iris/handle/10665/86083,/iris/bitstream/handle/10665/86083/WHA2.20_eng.pdf?sequence=1&isAllowed=y
WHA2.11,1949,"Expert Committee on Habit-forming Drugs: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86069,/iris/bitstream/handle/10665/86069/WHA2.11_eng.pdf?sequence=1&isAllowed=y
WHA2.22,1949,"Expert Committee on Tuberculosis: report on the third session
﻿",https://apps.who.int/iris/handle/10665/86086,/iris/bitstream/handle/10665/86086/WHA2.22_eng.pdf?sequence=1&isAllowed=y
WHA2.41,1949,"Joint programme of FAO/WHO to increase world food production and raise standards of health
﻿",https://apps.who.int/iris/handle/10665/86105,/iris/bitstream/handle/10665/86105/WHA2.41_eng.pdf?sequence=1&isAllowed=y
WHA2.47,1949,"Insurance against travel accidents of delegates to the Health Assembly and of members of the Executive Board
﻿",https://apps.who.int/iris/handle/10665/86111,/iris/bitstream/handle/10665/86111/WHA2.47_eng.pdf?sequence=1&isAllowed=y
WHA2.46,1949,"Transportation and/or per diem allowances for delegates to the third and subsequent health assemblies
﻿",https://apps.who.int/iris/handle/10665/86110,/iris/bitstream/handle/10665/86110/WHA2.46_eng.pdf?sequence=1&isAllowed=y
WHA2.26,1949,"Activities with the United Nations, specialized agencies, and non-governmental organizations on matters connected with mental health
﻿",https://apps.who.int/iris/handle/10665/86090,/iris/bitstream/handle/10665/86090/WHA2.26_eng.pdf?sequence=1&isAllowed=y
WHA2.17,1949,"Reports on international epidemic control
﻿",https://apps.who.int/iris/handle/10665/86079,/iris/bitstream/handle/10665/86079/WHA2.17_eng.pdf?sequence=1&isAllowed=y
WHA2.44,1949,"Availability of technical knowledge of production processes of antibiotics
﻿",https://apps.who.int/iris/handle/10665/86108,/iris/bitstream/handle/10665/86108/WHA2.44_eng.pdf?sequence=1&isAllowed=y
WHA2.24,1949,"Joint committee on health policy, UNICEF/WHO
﻿",https://apps.who.int/iris/handle/10665/86088,/iris/bitstream/handle/10665/86088/WHA2.24_eng.pdf?sequence=1&isAllowed=y
WHA2.21,1949,"Activities with ECOSOC and with specialized agencies on malaria control
﻿",https://apps.who.int/iris/handle/10665/86085,/iris/bitstream/handle/10665/86085/WHA2.21_eng.pdf?sequence=1&isAllowed=y
WHA2.98,1949,"Application for membership of WHO: San Marino
﻿",https://apps.who.int/iris/handle/10665/86188,/iris/bitstream/handle/10665/86188/WHA2.98_eng.pdf?sequence=1&isAllowed=y
WHA2.99,1949,"Adminssion of Korea (‎South)‎
﻿",https://apps.who.int/iris/handle/10665/86189,/iris/bitstream/handle/10665/86189/WHA2.99_eng.pdf?sequence=1&isAllowed=y
WHA2.103,1949,"Rights and obligations of associate members and other territories in regional organizations
﻿",https://apps.who.int/iris/handle/10665/86193,/iris/bitstream/handle/10665/86193/WHA2.103_eng.pdf?sequence=1&isAllowed=y
WHA2.40,1949,"Use of statistical methods
﻿",https://apps.who.int/iris/handle/10665/86104,/iris/bitstream/handle/10665/86104/WHA2.40_eng.pdf?sequence=1&isAllowed=y
WHA2.48,1949,"Approval of additions to the provisional staff regulations
﻿",https://apps.who.int/iris/handle/10665/86112,/iris/bitstream/handle/10665/86112/WHA2.48_eng.pdf?sequence=1&isAllowed=y
WHA2.57,1949,"Establishment of the working capital fund as a single fund and assessment of new members
﻿",https://apps.who.int/iris/handle/10665/86135,/iris/bitstream/handle/10665/86135/WHA2.57_eng.pdf?sequence=1&isAllowed=y
WHA2.25,1949,"Nuclear expert committee on mental health
﻿",https://apps.who.int/iris/handle/10665/86089,/iris/bitstream/handle/10665/86089/WHA2.25_eng.pdf?sequence=1&isAllowed=y
WHA2.18,1949,"Expert Committee on Insecticides: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86081,/iris/bitstream/handle/10665/86081/WHA2.18_eng.pdf?sequence=1&isAllowed=y
WHA2.91,1949,"Approval of agreement with the Pan American Sanitary Organization
﻿",https://apps.who.int/iris/handle/10665/86180,/iris/bitstream/handle/10665/86180/WHA2.91_eng.pdf?sequence=1&isAllowed=y
WHA2.5,1949,"Co-ordination of international congresses of medical sciences: proposed collaboration with the permanent council
﻿",https://apps.who.int/iris/handle/10665/86061,/iris/bitstream/handle/10665/86061/WHA2.5_eng.pdf?sequence=1&isAllowed=y
WHA2.63,1949,"Reimbursement by governments for materials, supplies and equipment
﻿",https://apps.who.int/iris/handle/10665/86141,/iris/bitstream/handle/10665/86141/WHA2.63_eng.pdf?sequence=1&isAllowed=y
WHA2.42,1949,"Tuberculosis programme: staff
﻿",https://apps.who.int/iris/handle/10665/86106,/iris/bitstream/handle/10665/86106/WHA2.42_eng.pdf?sequence=1&isAllowed=y
WHA2.50,1949,"Financial report and accounts of the Interim Commission for the financial period 1 January to 31 August 1948, and the report of the external auditor
﻿",https://apps.who.int/iris/handle/10665/86114,/iris/bitstream/handle/10665/86114/WHA2.50_eng.pdf?sequence=1&isAllowed=y
WHA2.31,1949,"General co-ordination with the United Nations and specialized agencies
﻿",https://apps.who.int/iris/handle/10665/86095,/iris/bitstream/handle/10665/86095/WHA2.31_eng.pdf?sequence=1&isAllowed=y
WHA2.89,1949,"Relations with the Intergovernmental Maritime Consultative Organization
﻿",https://apps.who.int/iris/handle/10665/86175,/iris/bitstream/handle/10665/86175/WHA2.89_eng.pdf?sequence=1&isAllowed=y
WHA2.34,1949,"Co-operation with the United Nations on the United Nations Library, Geneva
﻿",https://apps.who.int/iris/handle/10665/86098,/iris/bitstream/handle/10665/86098/WHA2.34_eng.pdf?sequence=1&isAllowed=y
WHA2.43,1949,"Leprosy
﻿",https://apps.who.int/iris/handle/10665/86107,/iris/bitstream/handle/10665/86107/WHA2.43_eng.pdf?sequence=1&isAllowed=y
WHA2.54,1949,"State of contributions to the budget for 1948
﻿",https://apps.who.int/iris/handle/10665/86132,/iris/bitstream/handle/10665/86132/WHA2.54_eng.pdf?sequence=1&isAllowed=y
WHA2.97,1949,"Regional organization: Western Pacific area
﻿",https://apps.who.int/iris/handle/10665/86187,/iris/bitstream/handle/10665/86187/WHA2.97_eng.pdf?sequence=1&isAllowed=y
WHA2.14,1949,"Production of synthetic vitamins
﻿",https://apps.who.int/iris/handle/10665/86073,/iris/bitstream/handle/10665/86073/WHA2.14_eng.pdf?sequence=1&isAllowed=y
WHA2.83,1949,"Situation with regard to the Office international d'Hygène publique
﻿",https://apps.who.int/iris/handle/10665/86169,/iris/bitstream/handle/10665/86169/WHA2.83_eng.pdf?sequence=1&isAllowed=y
WHA2.84,1949,"Amendments to regulations and rules of procedure for expert committees and their sub-committees
﻿",https://apps.who.int/iris/handle/10665/86170,/iris/bitstream/handle/10665/86170/WHA2.84_eng.pdf?sequence=1&isAllowed=y
WHA2.51,1949,"Financial report and accounts of the World Health Organization for the financial period 1 September to 31 December 1948, and report of the external auditor
﻿",https://apps.who.int/iris/handle/10665/86127,/iris/bitstream/handle/10665/86127/WHA2.51_eng.pdf?sequence=1&isAllowed=y
WHA2.49,1949,"Staff pension committee
﻿",https://apps.who.int/iris/handle/10665/86113,/iris/bitstream/handle/10665/86113/WHA2.49_eng.pdf?sequence=1&isAllowed=y
WHA2.82,1949,"Negotiations for an agreement with the government of Egypt
﻿",https://apps.who.int/iris/handle/10665/86168,/iris/bitstream/handle/10665/86168/WHA2.82_eng.pdf?sequence=1&isAllowed=y
WHA2.78,1949,"Adoption of the programme and budget for 1950
﻿",https://apps.who.int/iris/handle/10665/86164,/iris/bitstream/handle/10665/86164/WHA2.78_eng.pdf?sequence=1&isAllowed=y
WHA2.72,1949,"Contributions to the regular operating budget
 ﻿",https://apps.who.int/iris/handle/10665/86152,/iris/bitstream/handle/10665/86152/WHA2.72_eng.pdf?sequence=1&isAllowed=y
WHA2.105,1949,"Convention on Privilege and Immunities: extension to representatives of associate members and other territories
﻿",https://apps.who.int/iris/handle/10665/86195,/iris/bitstream/handle/10665/86195/WHA2.105_eng.pdf?sequence=1&isAllowed=y
WHA2.68,1949,"Scale of assessments: determination of the maximum contribution to the regular expenses of the Organization
﻿",https://apps.who.int/iris/handle/10665/86147,/iris/bitstream/handle/10665/86147/WHA2.68_eng.pdf?sequence=1&isAllowed=y
WHA2.71,1949,"Appropriation resolution
﻿",https://apps.who.int/iris/handle/10665/86150,/iris/bitstream/handle/10665/86150/WHA2.71_eng.pdf?sequence=1&isAllowed=y
WHA2.2,1949,"Expert Committee on Maternal and Child Health: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86058,/iris/bitstream/handle/10665/86058/WHA2.2_eng.pdf?sequence=1&isAllowed=y
WHA2.100,1949,"Inter-organization agreements: correction of the French texts
﻿",https://apps.who.int/iris/handle/10665/86190,/iris/bitstream/handle/10665/86190/WHA2.100_eng.pdf?sequence=1&isAllowed=y
WHA2.94,1949,"Adoption of amendments to the rules of procedure of the World Health Assembly
﻿",https://apps.who.int/iris/handle/10665/86183,/iris/bitstream/handle/10665/86183/WHA2.94_eng.pdf?sequence=1&isAllowed=y
WHA2.3,1949,"Expert Committee on Venereal Diseases: report on the second session
﻿",https://apps.who.int/iris/handle/10665/86059,/iris/bitstream/handle/10665/86059/WHA2.3_eng.pdf?sequence=1&isAllowed=y
WHA2.8,1949,"Publications: International digest of health legislation
﻿",https://apps.who.int/iris/handle/10665/86065,/iris/bitstream/handle/10665/86065/WHA2.8_eng.pdf?sequence=1&isAllowed=y
WHA2.76,1949,"United Nations project for the relief of Palestine refugees
﻿",https://apps.who.int/iris/handle/10665/86161,/iris/bitstream/handle/10665/86161/WHA2.76_eng.pdf?sequence=1&isAllowed=y
WHA2.6,1949,"Co-operation with UNESCO in the co-ordination of international congresses of medical sciences
﻿",https://apps.who.int/iris/handle/10665/86062,/iris/bitstream/handle/10665/86062/WHA2.6_eng.pdf?sequence=1&isAllowed=y
WHA2.9,1949,"Expert Committee on Biological Standardization: report on the third session and report of the Sub-Committee on Fat-Soluable Vitamins
﻿",https://apps.who.int/iris/handle/10665/86066,/iris/bitstream/handle/10665/86066/WHA2.9_eng.pdf?sequence=1&isAllowed=y
WHA2.7,1949,"Technical training of medical and auxiliary personnel
﻿",https://apps.who.int/iris/handle/10665/86064,/iris/bitstream/handle/10665/86064/WHA2.7_eng.pdf?sequence=1&isAllowed=y
WHA2.92,1949,"Recommendations on accessions to Convention on Privileges and Immunities
﻿",https://apps.who.int/iris/handle/10665/86181,/iris/bitstream/handle/10665/86181/WHA2.92_eng.pdf?sequence=1&isAllowed=y
WHA2.60,1949,"Budget estimates for the proposed 1950 programme
﻿",https://apps.who.int/iris/handle/10665/86138,/iris/bitstream/handle/10665/86138/WHA2.60_eng.pdf?sequence=1&isAllowed=y
WHA2.77,1949,"Establishment of an expert committee on nursing
﻿",https://apps.who.int/iris/handle/10665/86163,/iris/bitstream/handle/10665/86163/WHA2.77_eng.pdf?sequence=1&isAllowed=y
WHA2.87,1949,"Relations with the specialized agencies of the United Nations
﻿",https://apps.who.int/iris/handle/10665/86173,/iris/bitstream/handle/10665/86173/WHA2.87_eng.pdf?sequence=1&isAllowed=y
WHA2.52,1949,"Feasibility of using the United Nations board of auditors
﻿",https://apps.who.int/iris/handle/10665/86129,/iris/bitstream/handle/10665/86129/WHA2.52_eng.pdf?sequence=1&isAllowed=y
-,1949,"Second World Health Assembly, Rome, 13 June to 2 July 1949: Decisions and resolutions: plenary meetings verbatim records: committees minutes and reports: annexes
﻿",https://apps.who.int/iris/handle/10665/85600,/iris/bitstream/handle/10665/85600/Official_record21_eng.pdf?sequence=1&isAllowed=y
WHA2.32,1949,"International research laboratories
﻿",https://apps.who.int/iris/handle/10665/86096,/iris/bitstream/handle/10665/86096/WHA2.32_eng.pdf?sequence=1&isAllowed=y
WHA2.23,1949,"Activities with UNICEF and the International Union against Tuberculosis
﻿",https://apps.who.int/iris/handle/10665/86087,/iris/bitstream/handle/10665/86087/WHA2.23_eng.pdf?sequence=1&isAllowed=y
WHA2.16,1949,"Section on quarantine of the Expert Committee on International Epidemiology and Quarantine: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86078,/iris/bitstream/handle/10665/86078/WHA2.16_eng.pdf?sequence=1&isAllowed=y
WHA2.10,1949,"Expert Committee on the Unification of Pharmacopoeias: reports on the third and fourth sessions
﻿",https://apps.who.int/iris/handle/10665/86068,/iris/bitstream/handle/10665/86068/WHA2.10_eng.pdf?sequence=1&isAllowed=y
WHA2.29,1949,"Physical training
﻿",https://apps.who.int/iris/handle/10665/86093,/iris/bitstream/handle/10665/86093/WHA2.29_eng.pdf?sequence=1&isAllowed=y
WHA2.33,1949,"Health situation of displaced persons
﻿",https://apps.who.int/iris/handle/10665/86097,/iris/bitstream/handle/10665/86097/WHA2.33_eng.pdf?sequence=1&isAllowed=y
WHA2.1,1949,"Procedure for the examiniation of the programme and budget for 1950
﻿",https://apps.who.int/iris/handle/10665/86057,/iris/bitstream/handle/10665/86057/WHA2.1_eng.pdf?sequence=1&isAllowed=y
WHA2.79,1949,"Supplemental operating programme of advisory and technical services: priority items
﻿",https://apps.who.int/iris/handle/10665/86165,/iris/bitstream/handle/10665/86165/WHA2.79_eng.pdf?sequence=1&isAllowed=y
WHA2.88,1949,"Relations with the International Trade Organization
﻿",https://apps.who.int/iris/handle/10665/86174,/iris/bitstream/handle/10665/86174/WHA2.88_eng.pdf?sequence=1&isAllowed=y
WHA2.85,1949,"Policy on invitations to appoint members to governing bodies of health organizations: London School of Hygiene and Tropical Medicine
﻿",https://apps.who.int/iris/handle/10665/86171,/iris/bitstream/handle/10665/86171/WHA2.85_eng.pdf?sequence=1&isAllowed=y
WHA2.101,1949,"Agreement with ILO: article VII
﻿",https://apps.who.int/iris/handle/10665/86191,/iris/bitstream/handle/10665/86191/WHA2.101_eng.pdf?sequence=1&isAllowed=y
A2/110A2/110 Add.1A2/110 Corr.1A2/110 Corr.2,1949,"Decisions and resolutions
﻿",https://apps.who.int/iris/handle/10665/99092,/iris/bitstream/handle/10665/99092/WHA2_110_eng.pdf?sequence=1&isAllowed=y
-,1949,"Financial report 1 September--31 December 1948 and report of the external auditor
﻿",https://apps.who.int/iris/handle/10665/85599,/iris/bitstream/handle/10665/85599/Official_record20_eng.pdf?sequence=1&isAllowed=y
WHA2.80,1949,"Procedure for nomination and election of members entitled to designate a person to serve on the Executive Board
﻿",https://apps.who.int/iris/handle/10665/86166,/iris/bitstream/handle/10665/86166/WHA2.80_eng.pdf?sequence=1&isAllowed=y
WHA2.70,1949,"Scale of assessments: financial obligations of associate members
﻿",https://apps.who.int/iris/handle/10665/86149,/iris/bitstream/handle/10665/86149/WHA2.70_eng.pdf?sequence=1&isAllowed=y
WHA2.90,1949,"Action taken by certain countries with regard to membership of WHO
﻿",https://apps.who.int/iris/handle/10665/86178,/iris/bitstream/handle/10665/86178/WHA2.90_eng.pdf?sequence=1&isAllowed=y
WHA2.15,1949,"Expert Committee on International Epidemiology and Quarantine: report on the first session and principles to govern WHO sanitary regulations
﻿",https://apps.who.int/iris/handle/10665/86075,/iris/bitstream/handle/10665/86075/WHA2.15_eng.pdf?sequence=1&isAllowed=y
WHA2.4,1949,"Activities with the United Nations and specialized agencies and non-governmental organizations on venereal-disease control
﻿",https://apps.who.int/iris/handle/10665/86060,/iris/bitstream/handle/10665/86060/WHA2.4_eng.pdf?sequence=1&isAllowed=y
WHA2.38,1949,"Expert Committee on Health Statistics: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86102,/iris/bitstream/handle/10665/86102/WHA2.38_eng.pdf?sequence=1&isAllowed=y
WHA2.67,1949,"Scale of assessments: contribution of Israel to the budgets of 1949 and 1950
﻿",https://apps.who.int/iris/handle/10665/86145,/iris/bitstream/handle/10665/86145/WHA2.67_eng.pdf?sequence=1&isAllowed=y
WHA2.62,1949,"Financial responsibilities of the Executive Board
﻿",https://apps.who.int/iris/handle/10665/86140,/iris/bitstream/handle/10665/86140/WHA2.62_eng.pdf?sequence=1&isAllowed=y
WHA2.37,1949,"International health yearbook
﻿",https://apps.who.int/iris/handle/10665/86101,/iris/bitstream/handle/10665/86101/WHA2.37_eng.pdf?sequence=1&isAllowed=y
WHA2.19,1949,"Co-ordination of research
﻿",https://apps.who.int/iris/handle/10665/86082,/iris/bitstream/handle/10665/86082/WHA2.19_eng.pdf?sequence=1&isAllowed=y
WHA2.13,1949,"National nutrition committees
﻿",https://apps.who.int/iris/handle/10665/86072,/iris/bitstream/handle/10665/86072/WHA2.13_eng.pdf?sequence=1&isAllowed=y
WHA2.61,1949,"Headquarters office accommodation
﻿",https://apps.who.int/iris/handle/10665/86139,/iris/bitstream/handle/10665/86139/WHA2.61_eng.pdf?sequence=1&isAllowed=y
WHA2.28,1949,"Co-operation with the Economic Commission for Europe
﻿",https://apps.who.int/iris/handle/10665/86092,/iris/bitstream/handle/10665/86092/WHA2.28_eng.pdf?sequence=1&isAllowed=y
WHA3.9,1950,"Expert Committee on the Unification of Pharmacopoeias: report on the fifth session
﻿",https://apps.who.int/iris/handle/10665/86208,/iris/bitstream/handle/10665/86208/WHA3.9_eng.pdf?sequence=1&isAllowed=y
WHA3.17,1950,"Salmonellae
﻿",https://apps.who.int/iris/handle/10665/86218,/iris/bitstream/handle/10665/86218/WHA3.17_eng.pdf?sequence=1&isAllowed=y
WHA3.76,1950,"Admission of Viet Nam, Cambodia and Laos to membership of WHO
﻿",https://apps.who.int/iris/handle/10665/86318,/iris/bitstream/handle/10665/86318/WHA3.76_eng.pdf?sequence=1&isAllowed=y
WHA3.89,1950,"Organizational structure of the Secretariat
﻿",https://apps.who.int/iris/handle/10665/86334,/iris/bitstream/handle/10665/86334/WHA3.89_eng.pdf?sequence=1&isAllowed=y
WHA3.83,1950,"Agreement with the government of Egypt
﻿",https://apps.who.int/iris/handle/10665/86326,/iris/bitstream/handle/10665/86326/WHA3.83_eng.pdf?sequence=1&isAllowed=y
WHA3.107,1950,"Form of presentation of programme and budget estimates
﻿",https://apps.who.int/iris/handle/10665/86354,/iris/bitstream/handle/10665/86354/WHA3.107_eng.pdf?sequence=1&isAllowed=y
WHA3.69,1950,"Professional and technical education
﻿",https://apps.who.int/iris/handle/10665/86309,/iris/bitstream/handle/10665/86309/WHA3.69_eng.pdf?sequence=1&isAllowed=y
WHA3.67,1950,"Nursing
﻿",https://apps.who.int/iris/handle/10665/86307,/iris/bitstream/handle/10665/86307/WHA3.67_eng.pdf?sequence=1&isAllowed=y
WHA3.63,1950,"Programme of publications
﻿",https://apps.who.int/iris/handle/10665/86303,/iris/bitstream/handle/10665/86303/WHA3.63_eng.pdf?sequence=1&isAllowed=y
WHA3.40,1950,"Nutrition
﻿",https://apps.who.int/iris/handle/10665/86247,/iris/bitstream/handle/10665/86247/WHA3.40_eng.pdf?sequence=1&isAllowed=y
WHA3.113,1950,"Principles governing admission of non-governmental organizations into official relations with WHO
﻿",https://apps.who.int/iris/handle/10665/86361,/iris/bitstream/handle/10665/86361/WHA3.113_eng.pdf?sequence=1&isAllowed=y
WHA3.79,1950,"Use of UNRRA special fund during 1951
﻿",https://apps.who.int/iris/handle/10665/86322,/iris/bitstream/handle/10665/86322/WHA3.79_eng.pdf?sequence=1&isAllowed=y
WHA3.45,1950,"Production of synthetic vitamins in under-developed countries
﻿",https://apps.who.int/iris/handle/10665/86255,/iris/bitstream/handle/10665/86255/WHA3.45_eng.pdf?sequence=1&isAllowed=y
WHA3.19,1950,"Yellow-fever panel: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86220,/iris/bitstream/handle/10665/86220/WHA3.19_eng.pdf?sequence=1&isAllowed=y
