number,date,title,url
WHA2.66,1949,"Working capital fund for 1950
﻿",https://apps.who.int/iris/handle/10665/86144
WHA2.75,1949,"Supplemental operating programme of advisory and technical services budget
﻿",https://apps.who.int/iris/handle/10665/86158
WHA2.45,1949,"Administrative and financial relations between the United Nations and specialized agencies
﻿",https://apps.who.int/iris/handle/10665/86109
WHA2.69,1949,"Scale of assessments: contribution of the state of South Korea to the budgets of 1949 and 1950
﻿",https://apps.who.int/iris/handle/10665/86148
WHA2.36,1949,"Bejel and other treponematoses
﻿",https://apps.who.int/iris/handle/10665/86100
WHA2.104,1949,"Regional organization: African area
﻿",https://apps.who.int/iris/handle/10665/86194
WHA2.74,1949,"Establishment of a regional organization for the European area
﻿",https://apps.who.int/iris/handle/10665/86156
WHA2.93,1949,"WHO regulations on nomenclature, 1948: proposed amendment to article 20
﻿",https://apps.who.int/iris/handle/10665/86182
WHA2.65,1949,"Currency of contributions
﻿",https://apps.who.int/iris/handle/10665/86143
WHA2.39,1949,"Health statistics: registration, compilation and transmission
﻿",https://apps.who.int/iris/handle/10665/86103
WHA2.35,1949,"World Health Day
 ﻿",https://apps.who.int/iris/handle/10665/86099
WHA2.64,1949,"Appointment of members and alternates to the Staff Pension Committee
﻿",https://apps.who.int/iris/handle/10665/86142
WHA2.27,1949,"Insulin
﻿",https://apps.who.int/iris/handle/10665/86091
WHA2.59,1949,"Notification to governments of vacancies for professional and senior staff
﻿",https://apps.who.int/iris/handle/10665/86137
WHA2.73,1949,"Programme medical supply services
﻿",https://apps.who.int/iris/handle/10665/86154
WHA2.58,1949,"Currency of contributions
﻿",https://apps.who.int/iris/handle/10665/86136
WHA2.30,1949,"Activities with the United Nations, specialized agencies and non-governmental organizations on public-health administration
﻿",https://apps.who.int/iris/handle/10665/86094
WHA2.56,1949,"Policy to be followed concerning contributions to arrears
﻿",https://apps.who.int/iris/handle/10665/86134
WHA2.12,1949,"Co-operation with FAO on nutrition problems
﻿",https://apps.who.int/iris/handle/10665/86071
WHA2.53,1949,"Appointment of the external auditor for 1950
﻿",https://apps.who.int/iris/handle/10665/86131
WHA2.95,1949,"Proposed amendments to the rules of procedure of the World Health Assembly
﻿",https://apps.who.int/iris/handle/10665/86184
WHA2.55,1949,"Status of contributions to the budget for 1949
﻿",https://apps.who.int/iris/handle/10665/86133
WHA2.81,1949,"Approval of the agreement with the government of India
﻿",https://apps.who.int/iris/handle/10665/86167
WHA2.20,1949,"Proposal to widen the terms of reference of the Expert Committee on Malaria
﻿",https://apps.who.int/iris/handle/10665/86083
WHA2.11,1949,"Expert Committee on Habit-forming Drugs: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86069
WHA2.22,1949,"Expert Committee on Tuberculosis: report on the third session
﻿",https://apps.who.int/iris/handle/10665/86086
WHA2.41,1949,"Joint programme of FAO/WHO to increase world food production and raise standards of health
﻿",https://apps.who.int/iris/handle/10665/86105
WHA2.47,1949,"Insurance against travel accidents of delegates to the Health Assembly and of members of the Executive Board
﻿",https://apps.who.int/iris/handle/10665/86111
WHA2.46,1949,"Transportation and/or per diem allowances for delegates to the third and subsequent health assemblies
﻿",https://apps.who.int/iris/handle/10665/86110
WHA2.26,1949,"Activities with the United Nations, specialized agencies, and non-governmental organizations on matters connected with mental health
﻿",https://apps.who.int/iris/handle/10665/86090
WHA2.17,1949,"Reports on international epidemic control
﻿",https://apps.who.int/iris/handle/10665/86079
WHA2.44,1949,"Availability of technical knowledge of production processes of antibiotics
﻿",https://apps.who.int/iris/handle/10665/86108
WHA2.24,1949,"Joint committee on health policy, UNICEF/WHO
﻿",https://apps.who.int/iris/handle/10665/86088
WHA2.21,1949,"Activities with ECOSOC and with specialized agencies on malaria control
﻿",https://apps.who.int/iris/handle/10665/86085
WHA2.98,1949,"Application for membership of WHO: San Marino
﻿",https://apps.who.int/iris/handle/10665/86188
WHA2.99,1949,"Adminssion of Korea (‎South)‎
﻿",https://apps.who.int/iris/handle/10665/86189
WHA2.103,1949,"Rights and obligations of associate members and other territories in regional organizations
﻿",https://apps.who.int/iris/handle/10665/86193
WHA2.40,1949,"Use of statistical methods
﻿",https://apps.who.int/iris/handle/10665/86104
WHA2.48,1949,"Approval of additions to the provisional staff regulations
﻿",https://apps.who.int/iris/handle/10665/86112
WHA2.57,1949,"Establishment of the working capital fund as a single fund and assessment of new members
﻿",https://apps.who.int/iris/handle/10665/86135
WHA2.25,1949,"Nuclear expert committee on mental health
﻿",https://apps.who.int/iris/handle/10665/86089
WHA2.18,1949,"Expert Committee on Insecticides: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86081
WHA2.91,1949,"Approval of agreement with the Pan American Sanitary Organization
﻿",https://apps.who.int/iris/handle/10665/86180
WHA2.5,1949,"Co-ordination of international congresses of medical sciences: proposed collaboration with the permanent council
﻿",https://apps.who.int/iris/handle/10665/86061
WHA2.63,1949,"Reimbursement by governments for materials, supplies and equipment
﻿",https://apps.who.int/iris/handle/10665/86141
WHA2.42,1949,"Tuberculosis programme: staff
﻿",https://apps.who.int/iris/handle/10665/86106
WHA2.50,1949,"Financial report and accounts of the Interim Commission for the financial period 1 January to 31 August 1948, and the report of the external auditor
﻿",https://apps.who.int/iris/handle/10665/86114
WHA2.31,1949,"General co-ordination with the United Nations and specialized agencies
﻿",https://apps.who.int/iris/handle/10665/86095
WHA2.89,1949,"Relations with the Intergovernmental Maritime Consultative Organization
﻿",https://apps.who.int/iris/handle/10665/86175
WHA2.34,1949,"Co-operation with the United Nations on the United Nations Library, Geneva
﻿",https://apps.who.int/iris/handle/10665/86098
WHA2.43,1949,"Leprosy
﻿",https://apps.who.int/iris/handle/10665/86107
WHA2.54,1949,"State of contributions to the budget for 1948
﻿",https://apps.who.int/iris/handle/10665/86132
WHA2.97,1949,"Regional organization: Western Pacific area
﻿",https://apps.who.int/iris/handle/10665/86187
WHA2.14,1949,"Production of synthetic vitamins
﻿",https://apps.who.int/iris/handle/10665/86073
WHA2.83,1949,"Situation with regard to the Office international d'Hygène publique
﻿",https://apps.who.int/iris/handle/10665/86169
WHA2.84,1949,"Amendments to regulations and rules of procedure for expert committees and their sub-committees
﻿",https://apps.who.int/iris/handle/10665/86170
WHA2.51,1949,"Financial report and accounts of the World Health Organization for the financial period 1 September to 31 December 1948, and report of the external auditor
﻿",https://apps.who.int/iris/handle/10665/86127
WHA2.49,1949,"Staff pension committee
﻿",https://apps.who.int/iris/handle/10665/86113
WHA2.82,1949,"Negotiations for an agreement with the government of Egypt
﻿",https://apps.who.int/iris/handle/10665/86168
WHA2.78,1949,"Adoption of the programme and budget for 1950
﻿",https://apps.who.int/iris/handle/10665/86164
WHA2.72,1949,"Contributions to the regular operating budget
 ﻿",https://apps.who.int/iris/handle/10665/86152
WHA2.105,1949,"Convention on Privilege and Immunities: extension to representatives of associate members and other territories
﻿",https://apps.who.int/iris/handle/10665/86195
WHA2.68,1949,"Scale of assessments: determination of the maximum contribution to the regular expenses of the Organization
﻿",https://apps.who.int/iris/handle/10665/86147
WHA2.71,1949,"Appropriation resolution
﻿",https://apps.who.int/iris/handle/10665/86150
WHA2.2,1949,"Expert Committee on Maternal and Child Health: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86058
WHA2.100,1949,"Inter-organization agreements: correction of the French texts
﻿",https://apps.who.int/iris/handle/10665/86190
WHA2.94,1949,"Adoption of amendments to the rules of procedure of the World Health Assembly
﻿",https://apps.who.int/iris/handle/10665/86183
WHA2.3,1949,"Expert Committee on Venereal Diseases: report on the second session
﻿",https://apps.who.int/iris/handle/10665/86059
WHA2.8,1949,"Publications: International digest of health legislation
﻿",https://apps.who.int/iris/handle/10665/86065
WHA2.76,1949,"United Nations project for the relief of Palestine refugees
﻿",https://apps.who.int/iris/handle/10665/86161
WHA2.6,1949,"Co-operation with UNESCO in the co-ordination of international congresses of medical sciences
﻿",https://apps.who.int/iris/handle/10665/86062
WHA2.9,1949,"Expert Committee on Biological Standardization: report on the third session and report of the Sub-Committee on Fat-Soluable Vitamins
﻿",https://apps.who.int/iris/handle/10665/86066
WHA2.7,1949,"Technical training of medical and auxiliary personnel
﻿",https://apps.who.int/iris/handle/10665/86064
WHA2.92,1949,"Recommendations on accessions to Convention on Privileges and Immunities
﻿",https://apps.who.int/iris/handle/10665/86181
WHA2.60,1949,"Budget estimates for the proposed 1950 programme
﻿",https://apps.who.int/iris/handle/10665/86138
WHA2.77,1949,"Establishment of an expert committee on nursing
﻿",https://apps.who.int/iris/handle/10665/86163
WHA2.87,1949,"Relations with the specialized agencies of the United Nations
﻿",https://apps.who.int/iris/handle/10665/86173
WHA2.52,1949,"Feasibility of using the United Nations board of auditors
﻿",https://apps.who.int/iris/handle/10665/86129
-,1949,"Second World Health Assembly, Rome, 13 June to 2 July 1949: Decisions and resolutions: plenary meetings verbatim records: committees minutes and reports: annexes
﻿",https://apps.who.int/iris/handle/10665/85600
WHA2.32,1949,"International research laboratories
﻿",https://apps.who.int/iris/handle/10665/86096
WHA2.23,1949,"Activities with UNICEF and the International Union against Tuberculosis
﻿",https://apps.who.int/iris/handle/10665/86087
WHA2.16,1949,"Section on quarantine of the Expert Committee on International Epidemiology and Quarantine: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86078
WHA2.10,1949,"Expert Committee on the Unification of Pharmacopoeias: reports on the third and fourth sessions
﻿",https://apps.who.int/iris/handle/10665/86068
WHA2.29,1949,"Physical training
﻿",https://apps.who.int/iris/handle/10665/86093
WHA2.33,1949,"Health situation of displaced persons
﻿",https://apps.who.int/iris/handle/10665/86097
WHA2.1,1949,"Procedure for the examiniation of the programme and budget for 1950
﻿",https://apps.who.int/iris/handle/10665/86057
WHA2.79,1949,"Supplemental operating programme of advisory and technical services: priority items
﻿",https://apps.who.int/iris/handle/10665/86165
WHA2.88,1949,"Relations with the International Trade Organization
﻿",https://apps.who.int/iris/handle/10665/86174
WHA2.85,1949,"Policy on invitations to appoint members to governing bodies of health organizations: London School of Hygiene and Tropical Medicine
﻿",https://apps.who.int/iris/handle/10665/86171
WHA2.101,1949,"Agreement with ILO: article VII
﻿",https://apps.who.int/iris/handle/10665/86191
A2/110A2/110 Add.1A2/110 Corr.1A2/110 Corr.2,1949,"Decisions and resolutions
﻿",https://apps.who.int/iris/handle/10665/99092
-,1949,"Financial report 1 September--31 December 1948 and report of the external auditor
﻿",https://apps.who.int/iris/handle/10665/85599
WHA2.80,1949,"Procedure for nomination and election of members entitled to designate a person to serve on the Executive Board
﻿",https://apps.who.int/iris/handle/10665/86166
WHA2.70,1949,"Scale of assessments: financial obligations of associate members
﻿",https://apps.who.int/iris/handle/10665/86149
WHA2.90,1949,"Action taken by certain countries with regard to membership of WHO
﻿",https://apps.who.int/iris/handle/10665/86178
WHA2.15,1949,"Expert Committee on International Epidemiology and Quarantine: report on the first session and principles to govern WHO sanitary regulations
﻿",https://apps.who.int/iris/handle/10665/86075
WHA2.4,1949,"Activities with the United Nations and specialized agencies and non-governmental organizations on venereal-disease control
﻿",https://apps.who.int/iris/handle/10665/86060
WHA2.38,1949,"Expert Committee on Health Statistics: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86102
WHA2.67,1949,"Scale of assessments: contribution of Israel to the budgets of 1949 and 1950
﻿",https://apps.who.int/iris/handle/10665/86145
WHA2.62,1949,"Financial responsibilities of the Executive Board
﻿",https://apps.who.int/iris/handle/10665/86140
WHA2.37,1949,"International health yearbook
﻿",https://apps.who.int/iris/handle/10665/86101
WHA2.19,1949,"Co-ordination of research
﻿",https://apps.who.int/iris/handle/10665/86082
WHA2.13,1949,"National nutrition committees
﻿",https://apps.who.int/iris/handle/10665/86072
WHA2.61,1949,"Headquarters office accommodation
﻿",https://apps.who.int/iris/handle/10665/86139
WHA2.28,1949,"Co-operation with the Economic Commission for Europe
﻿",https://apps.who.int/iris/handle/10665/86092
WHA3.9,1950,"Expert Committee on the Unification of Pharmacopoeias: report on the fifth session
﻿",https://apps.who.int/iris/handle/10665/86208
WHA3.17,1950,"Salmonellae
﻿",https://apps.who.int/iris/handle/10665/86218
WHA3.76,1950,"Admission of Viet Nam, Cambodia and Laos to membership of WHO
﻿",https://apps.who.int/iris/handle/10665/86318
WHA3.89,1950,"Organizational structure of the Secretariat
﻿",https://apps.who.int/iris/handle/10665/86334
WHA3.83,1950,"Agreement with the government of Egypt
﻿",https://apps.who.int/iris/handle/10665/86326
WHA3.107,1950,"Form of presentation of programme and budget estimates
﻿",https://apps.who.int/iris/handle/10665/86354
WHA3.69,1950,"Professional and technical education
﻿",https://apps.who.int/iris/handle/10665/86309
WHA3.67,1950,"Nursing
﻿",https://apps.who.int/iris/handle/10665/86307
WHA3.63,1950,"Programme of publications
﻿",https://apps.who.int/iris/handle/10665/86303
WHA3.40,1950,"Nutrition
﻿",https://apps.who.int/iris/handle/10665/86247
WHA3.113,1950,"Principles governing admission of non-governmental organizations into official relations with WHO
﻿",https://apps.who.int/iris/handle/10665/86361
WHA3.79,1950,"Use of UNRRA special fund during 1951
﻿",https://apps.who.int/iris/handle/10665/86322
WHA3.45,1950,"Production of synthetic vitamins in under-developed countries
﻿",https://apps.who.int/iris/handle/10665/86255
WHA3.19,1950,"Yellow-fever panel: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86220
WHA3.92,1950,"World Health Defence Fund
﻿",https://apps.who.int/iris/handle/10665/86337
WHA3.29,1950,"Rheumatic diseases
﻿",https://apps.who.int/iris/handle/10665/86233
WHA3.22,1950,"Trachoma
﻿",https://apps.who.int/iris/handle/10665/86223
WHA3.16,1950,"International Health Yearbook
﻿",https://apps.who.int/iris/handle/10665/86217
WHA3.2,1950,"Expert Committee on Professional and Technical Education of Medical and Auxiliary Personnel: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86200
WHA3.30,1950,"Epidemic and serum hepatitis
﻿",https://apps.who.int/iris/handle/10665/86234
WHA3.25,1950,"Q fever
﻿",https://apps.who.int/iris/handle/10665/86228
WHA3.7,1950,"Population problems
﻿",https://apps.who.int/iris/handle/10665/86205
WHA3.11,1950,"Non-Proprietary names for drugs
﻿",https://apps.who.int/iris/handle/10665/86211
WHA3.47,1950,"Regulations for expert advisory panels and committees
﻿",https://apps.who.int/iris/handle/10665/86258
WHA3.49,1950,"Establishment of national WHO committees
﻿",https://apps.who.int/iris/handle/10665/86260
WHA3.10,1950,"Pharmacopoea Internationalis
﻿",https://apps.who.int/iris/handle/10665/86209
WHA3.116,1950,"Technical assistance programme
﻿",https://apps.who.int/iris/handle/10665/86365
WHA3.109,1950,"Appropriation resolution for the financial year 1951
﻿",https://apps.who.int/iris/handle/10665/86356
WHA3.99,1950,"Place of fourth World Health Assembly
﻿",https://apps.who.int/iris/handle/10665/86344
WHA3.77,1950,"Admission of Southern Rhodesia as an associate member of WHO
﻿",https://apps.who.int/iris/handle/10665/86319
WHA3.66,1950,"Health education of the public
﻿",https://apps.who.int/iris/handle/10665/86306
WHA3.98,1950,"Office international d'Hygiène publique
﻿",https://apps.who.int/iris/handle/10665/86343
WHA3.88,1950,"Report on financial rules
﻿",https://apps.who.int/iris/handle/10665/86332
WHA3.61,1950,"Expert Committee on Tuberculosis: report on the fourth session
﻿",https://apps.who.int/iris/handle/10665/86301
WHA3.42,1950,"Supplies for governmental programmes
﻿",https://apps.who.int/iris/handle/10665/86250
WHA3.68,1950,"General promotion of health
﻿",https://apps.who.int/iris/handle/10665/86308
WHA3.70,1950,"Medical supplies
﻿",https://apps.who.int/iris/handle/10665/86310
WHA3.101,1950,"Arrangements for accommodation for headquarters office
﻿",https://apps.who.int/iris/handle/10665/86346
WHA3.75,1950,"Admission of the United States of Indonesia to membership of WHO
﻿",https://apps.who.int/iris/handle/10665/86317
WHA3.105,1950,"Working capital fund
﻿",https://apps.who.int/iris/handle/10665/86352
WHA3.93,1950,"Provisional staff regulations
﻿",https://apps.who.int/iris/handle/10665/86338
WHA3.56,1950,"Emergency sanitary measures in connection with the Mecca pilgrimage
﻿",https://apps.who.int/iris/handle/10665/86295
WHA3.81,1950,"Level of expenditure for 1951
﻿",https://apps.who.int/iris/handle/10665/86324
WHA3.73,1950,"Status of contributions to the budget for 1948
﻿",https://apps.who.int/iris/handle/10665/86314
WHA3.86,1950,"Provisional scale of assessments for associate members
﻿",https://apps.who.int/iris/handle/10665/86330
WHA3.106,1950,"Procedure for consideration of the programme budget at the fourth World Health Assembly
﻿",https://apps.who.int/iris/handle/10665/86353
WHA3.62,1950,"Therapeutic substances
﻿",https://apps.who.int/iris/handle/10665/86302
WHA3.84,1950,"Action taken by certain countries with respect to membership of WHO
﻿",https://apps.who.int/iris/handle/10665/86327
WHA3.78,1950,"Report on absentee members of the Executive Board
﻿",https://apps.who.int/iris/handle/10665/86320
WHA3.60,1950,"Expert Committee on Malaria: report on the third session
﻿",https://apps.who.int/iris/handle/10665/86300
WHA3.55,1950,"Administrative office for Africa
﻿",https://apps.who.int/iris/handle/10665/86294
WHA3.94,1950,"Staff rules
﻿",https://apps.who.int/iris/handle/10665/86339
WHA3.58,1950,"Expert Committee on Plague: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86297
WHA3.119,1950,"Temporary assignment of the state of Viet Nam and the kingdoms of Cambodia and Laos to the South-East Asia region
﻿",https://apps.who.int/iris/handle/10665/86368
WHA3.97,1950,"Issue of special world health stamps by member states to raise funds for promoting internatinal health work by WHO
﻿",https://apps.who.int/iris/handle/10665/86342
WHA3.122,1950,"Reports of the Executive Board and of the Director-General
﻿",https://apps.who.int/iris/handle/10665/86371
WHA3.104,1950,"Confidential report on the composition of the Secretariat
﻿",https://apps.who.int/iris/handle/10665/86350
WHA3.54,1950,"Western Pacific regional organization
﻿",https://apps.who.int/iris/handle/10665/86293
WHA3.112,1950,"Suspension of financial regulations 13 and 16(‎e)‎
﻿",https://apps.who.int/iris/handle/10665/86360
WHA3.95,1950,"Currency of contributions
﻿",https://apps.who.int/iris/handle/10665/86340
WHA3.96,1950,"Proposed amendments to the constitution of the World Health Organization
﻿",https://apps.who.int/iris/handle/10665/86341
WHA3.87,1950,"Appointment of the external auditor for 1951
﻿",https://apps.who.int/iris/handle/10665/86331
WHA3.65,1950,"Organization of public-health services
﻿",https://apps.who.int/iris/handle/10665/86305
WHA3.52,1950,"Léon Bernard Foundation: amendment of statutes
﻿",https://apps.who.int/iris/handle/10665/86290
WHA3.103,1950,"Appointment of member and alternate to the Staff Pension Committee
﻿",https://apps.who.int/iris/handle/10665/86349
WHA3.85,1950,"Scale of assessments for 1950: Israel
﻿",https://apps.who.int/iris/handle/10665/86328
WHA3.74,1950,"Status of contributions to the budget for 1949
 ﻿",https://apps.who.int/iris/handle/10665/86316
WHA3.102,1950,"Convention on Privileges and Immunities of the Specialized Agencies: amendments to annex VII concerning associate members and persons serving on expert advisory panels
﻿",https://apps.who.int/iris/handle/10665/86348
WHA3.39,1950,"Expert Group on Prematurity: report on session
﻿",https://apps.who.int/iris/handle/10665/86246
WHA3.24,1950,"Typhus and other rickettsioses
﻿",https://apps.who.int/iris/handle/10665/86227
WHA3.23,1950,"Hydatiodosis
﻿",https://apps.who.int/iris/handle/10665/86225
WHA3.57,1950,"Technical assistance programme
﻿",https://apps.who.int/iris/handle/10665/86296
WHA3.48,1950,"Problem of proliferation and overlapping of programmes of the United Nations and of specialized agencies
﻿",https://apps.who.int/iris/handle/10665/86259
WHA3.53,1950,"Programme of epidemiological work to be carried out with OIHP funds
﻿",https://apps.who.int/iris/handle/10665/86291
WHA3.21,1950,"Poliomyelitis
﻿",https://apps.who.int/iris/handle/10665/86222
WHA3.37,1950,"Expert Committee on Venereal Diseases: report on the third session
﻿",https://apps.who.int/iris/handle/10665/86244
WHA3.33,1950,"Dental hygiene
﻿",https://apps.who.int/iris/handle/10665/86239
WHA3.28,1950,"Bovine tuberculosis
﻿",https://apps.who.int/iris/handle/10665/86231
WHA3.43,1950,"Labelling and distribution of insecticides
﻿",https://apps.who.int/iris/handle/10665/86252
WHA3.34,1950,"Rehabilitation of the disabled, including the blind
﻿",https://apps.who.int/iris/handle/10665/86240
WHA3.1,1950,"General programme of work covering a specific period
﻿",https://apps.who.int/iris/handle/10665/86196
WHA3.44,1950,"Freer flow of medical supplies
﻿",https://apps.who.int/iris/handle/10665/86254
WHA3.91,1950,"Scale of assessments for 1951
﻿",https://apps.who.int/iris/handle/10665/86336
WHA3.59,1950,"Joint OIHP/WHO study-group on Cholera: report on the third session
﻿",https://apps.who.int/iris/handle/10665/86299
WHA3.64,1950,"Stimulation of campaigns against communicable diseases
﻿",https://apps.who.int/iris/handle/10665/86304
WHA3.6,1950,"Expert Committee on Health Statistics: report on the second session
﻿",https://apps.who.int/iris/handle/10665/86204
WHA3.32,1950,"Physical training
﻿",https://apps.who.int/iris/handle/10665/86238
WHA3.36,1950,"Pestilential diseases
﻿",https://apps.who.int/iris/handle/10665/86243
WHA3.35,1950,"Expert Committee on Environmental Sanitation: report on first session
﻿",https://apps.who.int/iris/handle/10665/86241
WHA3.12,1950,"Expert Committee on Drugs Liable to Produce Addiction: report on the second session
﻿",https://apps.who.int/iris/handle/10665/86212
WHA3.8,1950,"International biological standards
﻿",https://apps.who.int/iris/handle/10665/86207
WHA3.31,1950,"Joint ILO/WHO Committee on the Hygiene of Seafarers: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86235
WHA3.20,1950,"Rabies
﻿",https://apps.who.int/iris/handle/10665/86221
WHA3.41,1950,"Expert Committee on Mental Health: report on first session
﻿",https://apps.who.int/iris/handle/10665/86249
WHA3.14,1950,"Languages of publication of the Bulletin of the World Health Organization
﻿",https://apps.who.int/iris/handle/10665/86214
WHA3.18,1950,"Smallpox
﻿",https://apps.who.int/iris/handle/10665/86219
WHA3.117,1950,"Programme and budget for 1951
﻿",https://apps.who.int/iris/handle/10665/86366
WHA3.118,1950,"Assignment of the Republic of the United States of Indonesia to the South-East Asia region
﻿",https://apps.who.int/iris/handle/10665/86367
WHA3.46,1950,"Joint activities of WHO and UNICEF
﻿",https://apps.who.int/iris/handle/10665/86257
WHA3.5,1950,"International certificates of vaccination
﻿",https://apps.who.int/iris/handle/10665/86203
WHA3.50,1950,"Continuing needs of children
﻿",https://apps.who.int/iris/handle/10665/86261
WHA3.72,1950,"Financial report and accounts of the World Health Organization (‎1 January-31 December 1949)‎ and report of the external auditor
﻿",https://apps.who.int/iris/handle/10665/86313
WHA3.80,1950,"Level of expenditure for 1950
﻿",https://apps.who.int/iris/handle/10665/86323
WHA3.121,1950,"Award of Count Bernadotte Memorial Medal to WHO
﻿",https://apps.who.int/iris/handle/10665/86370
-,1950,"Third World Health Assembly, Geneva, 8 to 27 May 1950: resolutions and decisions: plenary meetings verbatim records: committees minutes and reports: annexes
﻿",https://apps.who.int/iris/handle/10665/85607
WHA3.114,1950,"Principles to govern relations between WHO and regional and national non-governmental organizations
﻿",https://apps.who.int/iris/handle/10665/86362
WHA3.27,1950,"Prevention of importation of anophelines
﻿",https://apps.who.int/iris/handle/10665/86230
-,1950,"Financial report, 1 January--31 December 1949 and report of the external auditor
﻿",https://apps.who.int/iris/handle/10665/85606
WHA3.13,1950,"Expert Committee on Antibiotics: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86213
A3/Prog/28A3/Prog/28 Add.1,1950,"Committee on Programme: resolutions for proposed programmes for 1951
﻿",https://apps.who.int/iris/handle/10665/100439
A3/122,1950,"List of resolutions adopted by the third World Health Assembly
﻿",https://apps.who.int/iris/handle/10665/100116
WHA3.120,1950,"Election of members entitled to designate a person to serve on the Executive Board
﻿",https://apps.who.int/iris/handle/10665/86369
WHA3.51,1950,"National nutrition committees
﻿",https://apps.who.int/iris/handle/10665/86289
WHA3.115,1950,"Budget level for 1951
﻿",https://apps.who.int/iris/handle/10665/86363
WHA3.26,1950,"Bilharziasis
﻿",https://apps.who.int/iris/handle/10665/86229
WHA3.71,1950,"Adjustment of operating programme for 1951
﻿",https://apps.who.int/iris/handle/10665/86312
WHA3.90,1950,"Action taken by China with respect to membership of WHO
﻿",https://apps.who.int/iris/handle/10665/86335
WHA3.15,1950,"International Digest of Health Legislation and publication of health legislation considered to be of international importance
﻿",https://apps.who.int/iris/handle/10665/86215
WHA3.82,1950,"Amendments to the rules of procedure of the World Health Assembly
﻿",https://apps.who.int/iris/handle/10665/86325
WHA3.110,1950,"Appropriation resolution for the financial year 1950: amendment concerning publications
﻿",https://apps.who.int/iris/handle/10665/86358
WHA3.3,1950,"Expert Committee on International Epidemiology and Quarantine: report on the second session
﻿",https://apps.who.int/iris/handle/10665/86201
WHA3.100,1950,"International Civil Service Advisory Board
﻿",https://apps.who.int/iris/handle/10665/86345
WHA3.108,1950,"Reimbursement of WHO by UNICEF in respect of certain services
﻿",https://apps.who.int/iris/handle/10665/86355
WHA3.111,1950,"Provisional financial regulations: extension for a further year
﻿",https://apps.who.int/iris/handle/10665/86359
WHA3.4,1950,"Section on quarantine of the Expert Committee on International Epidemiology and Quarantine: report on the second session
﻿",https://apps.who.int/iris/handle/10665/86202
WHA3.123,1950,"Action taken by Hungary with respect to membership of WHO
﻿",https://apps.who.int/iris/handle/10665/86372
WHA3.38,1950,"Expert Committee on Nursing: report on the first session
﻿",https://apps.who.int/iris/handle/10665/86245
-,1952,"Fourth World Health Assembly, Geneva, 7 to 25 May 1951: resolutions and decisions: plenary meetings verbatim records: committees minutes and reports: annexes
﻿",https://apps.who.int/iris/handle/10665/85614
WHA4.35,1951,"Arrears of contributions
﻿",https://apps.who.int/iris/handle/10665/86429
WHA4.29,1951,"Trachoma
﻿",https://apps.who.int/iris/handle/10665/86407
