number,title
WHA4.54,"Appointment of external auditor for the financial years 1952 to 1954
﻿"
WHA4.68,"Appropriation resolution for the financial year 1950: amendment
﻿"
WHA4.83,"Criteria for determining the limits of yellow-fever endemic zones
﻿"
WHA4.82,"Hygiene and sanitation of airports
﻿"
WHA4.69,"Appropriation resolution for the financial year 1951: amendment
﻿"
WHA4.55,"Organizational structure and administrative efficiency of the World Health Organization
﻿"
WHA4.41,"Additional funds for the budget of the World Health Organization
﻿"
WHA4.57,"Use of Spanish at WHO meetings
﻿"
WHA4.43,"Admission to membership of the World Health Organization: Federal Republic of Germany
﻿"
WHA4.80,"Additional national health and sanitary measures to prevent the spread of the six quarantinable diseases
﻿"
WHA4.81,"Sanitary protection in the case of mass movements of populations
﻿"
WHA4.42,"Admission to membership of the World Health Organization: Japan
﻿"
WHA4.56,"Form of presentation of the programme and budget estimates
﻿"
WHA4.52,"Amendments to the staff rules: general
﻿"
WHA4.46,"Amendments to the rules of procedure of the World Health Assembly
﻿"
WHA4.85,"Léon Bernard Foundation prize
﻿"
WHA4.84,"Kamaran quarantine station
 ﻿"
WHA4.90,"Approval of reports of the Executive Board
﻿"
WHA4.47,"Scale of assessments
﻿"
WHA4.53,"Staff rules: salary differential
﻿"
WHA4.79,"Special measures for the protection of isolated communities
﻿"
WHA4.45,"Action taken by Poland with respect to membership of the World Health Organization
﻿"
WHA4.51,"Adoption of the staff regulations of the World Health Organization
﻿"
WHA4.86,"Inclusion of Cambodia, Laos and Viet Nam in the Western Pacific Region
﻿"
WHA4.87,"Regional Committee for the Western Pacific: date of first meeting
﻿"
WHA4.50,"Adoption of financial regulations of the World Health Organization
﻿"
WHA4.44,"Admission to membership of the World Health Organization: Spain
﻿"
WHA4.78,"Epidemic diseases not covered by the International Sanitary Regulations (‎WHO regulations no. 2)‎
﻿"
WHA4.61,"Admission of non-governmental organizations to relationship with the World Health Organization
﻿"
WHA4.75,"Adaption of the International Sanitary Regulations (‎WHO regulations no. 2)‎
﻿"
WHA4.49,"Co-ordination of administrative and financial questions in the United Nations specialized agencies
﻿"
WHA4.48,"WHO seals
﻿"
WHA4.74,"Co-ordination of planning of UNICEF/WHO programmes
﻿"
WHA4.60,"Costs to be borne by recipient governments in connection with field projects
﻿"
WHA4.76,"Explanatory memorandum on the International Sanitary Regulations (‎WHO regulations no.2)‎
﻿"
WHA4.62,"Salary of the Director-General
﻿"
WHA4.89,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA4.88,"Earthquake in El Salvador
﻿"
WHA4.63,"Appointment of representatives to the WHO Staff Pension Committee
﻿"
WHA4.77,"Terms of reference of committees to deal with the application of the International Sanitary Regulations
﻿"
WHA4.73,"Appropriation resolution for the financial year 1952
﻿"
WHA4.67,"Assignment to regions: Morocco, Tunisia and Algeria
﻿"
WHA4.66,"Place of the sixth World Health Assembly and of future health assemblies
﻿"
WHA4.72,"Effective working budget for 1952
﻿"
WHA4.58,"Transfer of the assets of the Office International d'Hygiène publique
﻿"
WHA4.64,"Working capital fund for 1952
﻿"
WHA4.70,"Emergency action to assist in the maintenance of international peace and security
﻿"
WHA4.71,"Budget level for 1952
﻿"
WHA4.65,"Place of the fifth World Health Assembly
﻿"
WHA4.59,"Agreement with the government of Egypt
﻿"
WHA4.16,"Long-range activities for children and relations with UNICEF
﻿"
WHA4.17,"Development of arid land, and international co-operation on water control and utilization
﻿"
WHA4.15,"Relations with the United Nations Relief and Works Agency for Palestine refugees in the Near East
﻿"
WHA4.29,"Trachoma
﻿"
WHA4.28,"Utilization of short-term consultants
﻿"
WHA4.14,"Adoption of regulations for expert advisory panels and committees
﻿"
WHA4.38,"Supplemental budget for 1951: assistance to refugees in Turkey
﻿"
WHA4.10,"Concentration of effort and resources of the United Nations and specialized agencies
﻿"
WHA4.11,"Schedule of work of the Economic and Social Council
﻿"
WHA4.39,"Scale of assessments: Israel, Korea and Viet Nam
﻿"
WHA4.9,"Technical discussions at World Health Assemblies
﻿"
WHA4.13,"Permanent secretariat for the International Pharmacopeia
﻿"
WHA4.12,"Active support by member states for the work of specialized agencies
﻿"
WHA4.8,"Prevention and treatment of severe malnutrition in times of disaster
﻿"
WHA5.77,"Organization of technical discussions at future Health Assemblies
﻿"
WHA5.63,"Future organizational studies by the Executive Board
﻿"
WHA5.62,"Review of programme and budget estimates by the Executive Board
﻿"
WHA5.76,"Publicity given to ""wonder"" or ""miracle"" drugs
﻿"
WHA5.48,"Health assemblies away from Headquarters
﻿"
WHA5.60,"Approval of the regular programme for 1953
﻿"
WHA5.74,"Agreement with the World Meteorological Organization
﻿"
WHA5.75,"International Committee of Military Medicine and Pharmacy
﻿"
WHA5.61,"Technical assistance program: third and fourth periods
﻿"
WHA5.49,"Duration of sessions of the Health Assembly
﻿"
WHA5.65,"Reports of the Administrative Committee on Co-ordination
﻿"
WHA5.71,"UNICEF/WHO health programmes
﻿"
WHA5.59,"Participation of member states in certain costs incurred in the operation of field projects
﻿"
WHA5.58,"Exceptional contribution from the Kingdom of Laos
﻿"
WHA5.70,"Community welfare centers
﻿"
WHA5.64,"Procedure for determining the necessity for further meetings of expert committees
﻿"
WHA5.72,"Extension of agreement with the United Nations Relief and Works Agency for Palestine refugees in the Near East
﻿"
WHA5.66,"Co-ordination of work of the United Nations and the specialized agencies
﻿"
WHA5.67,"Representation at meetings of other organizations
﻿"
WHA5.73,"Medical care in relation to public health
﻿"
WHA5.28,"Leprosy
﻿"
WHA5.14,"Chronicle of the World Health Organization: Russian edition
﻿"
WHA5.6,"Award of the Léon Bernard Foundation Medal and Prize
﻿"
WHA5.7,"Topics for the technical discussions at the fifth World Health Assembly
﻿"
WHA5.15,"Admission of Tunisia as an associate member of the World Health Organization
﻿"
WHA5.29,"Supply and requirements of insecticides: world position
﻿"
WHA5.17,"Accident insurance for members of the Executive Board
﻿"
WHA5.5,"Annual report of the Director-General for 1951
﻿"
WHA5.4,"Reports of the Executive Board on its eighth and ninth sessions
﻿"
WHA5.16,"Admission of Morocco as an associate member of the World Health Organization
﻿"
WHA5.12,"Revised financial rules
﻿"
WHA5.1,"Establishment of the main committees of the fifth World Health Assembly
﻿"
WHA5.13,"Arrears of contributions and advances to the working capital fund
﻿"
WHA5.11,"Amendments to staff rules
﻿"
WHA5.39,"Annual reports from member states
﻿"
WHA5.3,"Sovereign and Military Order of Malta
﻿"
WHA5.2,"Admission to membership of the World Health Organization: United Kingdom of Libya
﻿"
WHA5.38,"Amendments to the rules of procedure of the World Health Assembly
﻿"
WHA5.10,"Supplemental budget for 1952
﻿"
WHA5.35,"Financial report and accounts of the World Health Organization for 1951 and report of the external auditor
﻿"
WHA5.21,"Reimbursement by governments for materials, supplies and equipment
﻿"
WHA5.20,"Currency of contributions: proposed use of sterling
﻿"
WHA5.34,"Co-operation wtih the Council for Co-ordination of International Congresses of Medical Sciences
﻿"
WHA5.22,"Frequency of sessions of the Health Assembly
﻿"
WHA5.36,"Amendment to the 1952 appropriation resolution
﻿"
WHA5.37,"Appropriation resolution for the financial year 1953
﻿"
WHA5.23,"Publications revolving fund
﻿"
WHA5.27,"Fellowships: under-developed countries
﻿"
WHA5.33,"Election of members entitled to designate a person to serve on the Executive Board
﻿"
WHA5.9,"Effective working budget for 1953
﻿"
WHA5.8,"Budget level for 1953
﻿"
WHA5.32,"Reservations and proposed amendments to the International Sanitary Regulations (‎WHO regulations no.2)‎
﻿"
WHA5.26,"Vital and health statistics
﻿"
WHA5.30,"Production of insecticides and antibiotics
﻿"
WHA5.24,"Publications programme
﻿"
WHA5.18,"Working capital fund for 1953
﻿"
WHA5.19,"Status of the Assembly suspense account as at 31 December 1951
﻿"
WHA5.25,"General programme of work for a specific period
﻿"
WHA5.31,"Recording and transmission of epidemiological information
﻿"
WHA5.56,"Proposals from the Republic of China regarding financial contributions to WHO
﻿"
WHA5.42,"Rights and obligations of associate members
﻿"
WHA5.43,"Assignment to regions
 ﻿"
WHA5.57,"Study of scale of assessments
﻿"
WHA5.69,"Rehabilitation of the physically handicapped: report of the technical working group
﻿"
WHA5.41,"Host agreement with the government of the Philippines
﻿"
WHA5.55,"Scale of assessments for 1953
﻿"
WHA5.54,"Accommodation for the Headquarters office
﻿"
WHA5.40,"Office international d'Hygiène publique: denunciation of Rome agreement by the Federal Republic of Germany, Japan and Spain
﻿"
WHA5.68,"Long-range activities for children: report of the technical workiing group
﻿"
WHA5.44,"Assignment of United Kingdom of Libya to the Eastern Mediterranean region
﻿"
WHA5.50,"WHO seals
﻿"
WHA5.78,"Topics for technical discussions at the sixth World Health Assembly
﻿"
WHA5.51,"Appointments to the WHO Staff Pension Committee
﻿"
WHA5.45,"Regional Committee for the Eastern Mediterranean
﻿"
WHA5.53,"Salary differential
﻿"
WHA5.47,"Place of the sixth World Health Assembly
﻿"
WHA5.46,"Temporary admission of Turkey to the European region
﻿"
WHA5.52,"Renewal of the contract of the Director-General
﻿"
WHA6.7,"Budget level for 1954
﻿"
WHA6.26,"Approval of the regular programme for 1954
﻿"
WHA6.32,"Arrears of contributions due in respect of the Office international d'Hygiène publique
﻿"
WHA6.33,"Sale and distribution of WHO publications: use of revolving fund
﻿"
WHA6.27,"Technical Assistance Programme for 1954
﻿"
WHA6.6,"Assessment of China
﻿"
WHA6.4,"Award of the Léon Bernard Foundation medal and prize
﻿"
WHA6.31,"Arrears of contributions to the World Health Organization
﻿"
WHA6.25,"Extension of agreement with the United Nations Relief and Works Agency for Palestine refugees in the Near East
﻿"
WHA6.19,"Expert Committee on Leprosy: first report
﻿"
WHA6.18,"Study on campaign against smallpox
﻿"
WHA6.24,"Development and concentration of efforts in the social field
﻿"
WHA6.30,"Scale of assessments for 1954
﻿"
WHA6.5,"Admission of Nepal to membership of the World Health Organization
﻿"
WHA6.1,"Establishment of main committees of the sixth World Health Assembly
﻿"
WHA6.34,"World health seals
﻿"
WHA6.20,"Terms of reference of the Committee on International Quarantine
﻿"
WHA6.21,"Organizational study on education and training
﻿"
WHA6.35,"Maintenance and travel costs of national candidates attending national training courses organized with the help of WHO
﻿"
WHA6.2,"Election and appointment of the Director-General
﻿"
WHA6.23,"Decisions of the United Nations General Assembly and of the Economic and Social Council
﻿"
WHA6.37,"Request by the government of Spain concerning the Spanish protectorate zone in Morocco
﻿"
WHA6.36,"Headquarters accommodation
﻿"
WHA6.22,"Organizational study on programme analysis and evaluation
﻿"
WHA6.3,"Contract of the Director-General
﻿"
WHA6.45,"Assignment to regions
﻿"
WHA6.51,"Participation of member states in certain costs incurred by WHO
﻿"
WHA6.50,"Amendments to the rules of procedure of the World Health Assembly
﻿"
WHA6.44,"Regionalization
﻿"
WHA6.52,"Amendments to staff rules
﻿"
WHA6.46,"Provisional assignment of specific territories to regions
﻿"
WHA6.47,"Eastern Mediterranean region
﻿"
WHA6.53,"Cost-of-living adjustments
﻿"
WHA6.57,"Frequency of Health Assembly sessions
﻿"
WHA6.43,"Reservations to the International Sanitary Regulations (‎WHO regulations no. 2)‎ in respect of overseas and outlying territories
﻿"
WHA6.42,"Place of the eighth World Health Assembly: invitation from the government of Mexico
﻿"
WHA6.56,"Special benefit for retiring Director-General
﻿"
WHA6.40,"Preparatory study on international medical law
﻿"
WHA6.54,"Appointment of members to WHO Staff Pension Committee
﻿"
WHA6.55,"Annual report of the United Nations Joint Staff Pension Board for 1951 and report on the second actuarial valuation of the fund
﻿"
WHA6.41,"Place of the seventh World Health Assembly
﻿"
